name,email,phone,website,city,source,category,created_at
HD Unisex Salon,,"
089801 80106",https://shadesofblackk.com,Ahmedabad,google_maps_browser,,2026-02-06T07:33:18.215063
HAIR RAP BY YOYO,,"
089801 80106",https://shadesofblackk.com,Ahmedabad,google_maps_browser,,2026-02-06T07:33:16.986323
Zion Salons,,"
089801 80106",https://shadesofblackk.com,Ahmedabad,google_maps_browser,,2026-02-06T07:33:15.720450
"Shades Of Blackk Spalon - Salon for Hair, Beauty & Bridal Service",,"
070460 01703",http://www.retrosalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:33:14.085652
Le Atmos Salon,,"
070460 01703",http://www.retrosalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:33:12.688406
Blades & Scissors salon | Luxury Salon | Ahmedabad,,"
070460 01703",http://www.retrosalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:33:11.110171
Final Touch Salon,,"
070460 01703",http://www.retrosalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:33:09.782045
SV Unisex Salon,,"
070460 01703",http://www.retrosalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:33:08.150750
S Mira Unisex Salon,,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:33:06.756904
Retro Salon - Hair Skin Makeup,,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:33:05.241290
MD Unisex Salon,,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:33:03.430525
The Cuts & Color Co.,,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:33:01.856831
Jawed Habib Hair & Beauty - Sindhu Bhavan Road,,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:33:00.362555
"Twisha's Beauty Salon : Best hair Stylist, Top Beauty Salon, Best Bridal Makeup Artist in Ahemdabad",,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:32:58.785283
LS Salon Academy Best Hair Academy In Gujarat.,,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:32:57.194316
"The Forest Salon, Ahmedabad",,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Ahmedabad,google_maps_browser,,2026-02-06T07:32:55.378442
